IP Virtual Server version 0.0.0 (size=0)
Prot LocalAddress:Port               Conns   InPkts  OutPkts  InBytes OutBytes
  -> RemoteAddress:Port
TCP  10.33.184.1:3306                 1935     8592   385399     4202   351417
  -> 10.66.3.10:3306                   644     2726   122699     1343   114757
  -> 10.66.3.11:3306                   646     2926   131020     1427   118080
  -> 10.66.3.12:3306                   645     2940   131680     1432   118580
TCP  10.33.184.2:3306                    0        0        0        0        0
  -> 10.66.3.16:3306                     0        0        0        0        0
  -> 10.66.3.17:3306                     0        0        0        0        0
  -> 10.66.3.18:3306                     0        0        0        0        0
TCP  10.33.184.3:3306                    0        0        0        0        0
  -> 10.66.3.13:3306                     0        0        0        0        0
  -> 10.66.3.14:3306                     0        0        0        0        0
  -> 10.66.3.15:3306                     0        0        0        0        0
TCP  10.33.184.4:3306                    2      164     6560      100     4000
  -> 10.66.5.10:3306                     0        0        0        0        0
  -> 10.66.5.11:3306                     1      100     4000      100     4000
  -> 10.66.5.12:3306                     1       64     2560        0        0
TCP  10.33.184.5:3306                    9       27     1260       12     1062
  -> 10.66.3.19:3306                     3        9      420        4      354
  -> 10.66.3.20:3306                     2        5      240        2      177
  -> 10.66.3.21:3306                     4       13      600        6      531
TCP  10.33.184.6:8937                 1000     4000   180000     2203   100120
  -> 10.66.3.22:8937                  1000     4000   180000     2203   100120
  -> 10.66.3.23:8937                     0        0        0        0        0
TCP  10.33.184.7:8984                 1013     4044   182040     2049    94080
  -> 10.66.3.22:8984                     0        0        0        0        0
  -> 10.66.3.23:8984                  1013     4044   182040     2049    94080
TCP  10.33.184.8:8981                    0        0        0        0        0
  -> 10.66.3.22:8981                     0        0        0        0        0
  -> 10.66.3.23:8981                     0        0        0        0        0
TCP  10.33.184.9:9200                75758   433333 24939422   325641 42023025
  -> 10.111.31.40:9200               37879   218441 12593784   164670 21151395
  -> 10.111.31.44:9200               37879   214892 12345638   160971 20871630
TCP  10.33.184.10:80                149950  1429916 82418392  1171524  124707K
  -> 10.64.3.32:80                   49984   476653 27475388   390574 41576127
  -> 10.64.3.33:80                   49985   476571 27468592   390485 41568255
  -> 10.64.3.34:80                   49981   476692 27474412   390465 41563307
  -> 10.69.4.19:9068                     0        0        0        0        0
TCP  10.33.184.10:443                16147    81540  4930492    80448  9879515
  -> 10.64.3.32:443                   5381    27151  1634155    26775  3274124
  -> 10.64.3.33:443                   5381    27207  1644630    26826  3297637
  -> 10.64.3.34:443                   5385    27182  1651707    26847  3307754

